,event_name,slot_date,count,max_amount,location,language,creator_id,creator_name,creator_info,participants
29,Sri Lankan New Year Feast,02/03/2025,15,3000,mumbai,"['english', 'tamil']",29,Jacob Smith,"['logical and facts', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Very Highly Introverted', 'Highly Motivated', 'Very Highly Creative', 'Severely Overwhelmed', 'Below Average Job', 'Highly Spiritual', 'Highly Family-Oriented', 'Slightly Lonely', 'Moderately Enjoys Going Out', 'Somewhat Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Enjoys Nature More', 'Absolutely Loves Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Barbara Edwards', 'profession': '', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Very Highly Introverted', 'Extremely Motivated', 'Not Creative at All', 'Occasionally Stressed', 'Average Job', 'Very Highly Spiritual', 'Highly Family-Oriented', 'Never Lonely', 'Very Highly Enjoys Going Out', 'Highly Enjoys Working Out', 'Academic Success Extremely Matters', 'Loves Only City', 'Occasionally Tolerates Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Linda Wilson', 'profession': 'cardiologist', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Slightly Introverted', 'Extremely Motivated', 'Occasionally Creative', 'Extremely Stressed', 'Dream Job', 'Rarely Spiritual', 'Fairly Family-Oriented', 'Fairly Lonely', 'Loves Going Out All the Time', 'Rarely Works Out', 'Academic Success Extremely Matters', 'Prefers City Strongly', 'Mildly Enjoys Politically Incorrect Humor', 'Rarely Discusses Politics']}, {'participant_name': 'Jacob Smith', 'profession': '', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Very Highly Introverted', 'Highly Motivated', 'Very Highly Creative', 'Severely Overwhelmed', 'Below Average Job', 'Highly Spiritual', 'Highly Family-Oriented', 'Slightly Lonely', 'Moderately Enjoys Going Out', 'Somewhat Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Enjoys Nature More', 'Absolutely Loves Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
30,Home Made Dal Baati Table by Home Chef,01/03/2025,5,2500,chennai,"['english', 'tamil']",30,Shawn Johnson,"['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Slightly Extroverted', 'Highly Motivated', 'Rarely Creative', 'Occasionally Stressed', 'Good Job', 'Fairly Spiritual', 'Extremely Family-Oriented', 'Occasionally Lonely', 'Moderately Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Slightly Matters', 'Thrives in the City', 'Moderately Enjoys Politically Incorrect Humor', 'Passionate About Discussing Politics']","[{'participant_name': 'Kelly Mahoney', 'profession': 'chemical engineer', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'neither rap or rock', 'Ambiverted', 'Incredibly Self-Driven', 'Highly Creative', 'Fairly Stressed', 'Average Job', 'Occasionally Spiritual', 'Very Highly Family-Oriented', 'Occasionally Lonely', 'Very Highly Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success is My Top Priority', 'Leans Toward City', 'Very Highly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Joshua Jensen', 'profession': 'information security engineer', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'spontanous and improvized', 'rap', 'Noticeably Introverted', 'Incredibly Self-Driven', 'Rarely Creative', 'Moderately Stressed', 'Bad Job', 'Slightly Spiritual', 'Not Family-Oriented at All', 'Completely Isolated', 'Occasionally Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success Slightly Matters', 'Loves Only City', 'Mostly Dislikes Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Shawn Clark', 'profession': 'microbiologist', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Highly Extroverted', 'Not Motivated at All', 'Extremely Creative', 'Not Stressed at All', 'Bad Job', 'Rarely Spiritual', 'Fairly Family-Oriented', 'Very Highly Lonely', 'Loves Going Out All the Time', 'Fairly Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Leans Toward Nature', 'Strongly Dislikes Politically Incorrect Humor', 'Loves Discussing Politics']}, {'participant_name': 'Shawn Johnson', 'profession': 'validation engineer', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Slightly Extroverted', 'Highly Motivated', 'Rarely Creative', 'Occasionally Stressed', 'Good Job', 'Fairly Spiritual', 'Extremely Family-Oriented', 'Occasionally Lonely', 'Moderately Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Slightly Matters', 'Thrives in the City', 'Moderately Enjoys Politically Incorrect Humor', 'Passionate About Discussing Politics']}]"
31,Dessert & Stories,08/03/2025,10,3000,bangalore,"['english', 'telugu']",31,Tami Smith,"['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Moderately Introverted', 'Fairly Motivated', 'Slightly Creative', 'Slightly Stressed', 'Below Average Job', 'Slightly Spiritual', 'Very Highly Family-Oriented', 'Fairly Lonely', 'Extremely Enjoys Going Out', 'Lives to Work Out', 'Academic Success Highly Matters', 'Thrives in the City', 'Moderately Enjoys Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Charles Bates', 'profession': 'biomass power plant manager', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Noticeably Introverted', 'Occasionally Motivated', 'Very Highly Creative', 'Highly Stressed', 'Decent Job', 'Fairly Spiritual', 'Moderately Family-Oriented', 'Very Highly Lonely', 'Moderately Enjoys Going Out', 'Highly Enjoys Working Out', 'Academic Success Very Highly Matters', 'Loves Only Nature', 'Strongly Dislikes Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Denise Cobb', 'profession': 'biological technician', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Mostly Extroverted', 'Fairly Motivated', 'Highly Creative', 'Not Stressed at All', 'Good Job', 'Deeply Enlightened', 'Not Family-Oriented at All', 'Occasionally Lonely', 'Hates Going Out', 'Lives to Work Out', 'Academic Success Occasionally Matters', 'Balanced Between Nature and City', 'Strongly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Tami Smith', 'profession': 'validation engineer', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Moderately Introverted', 'Fairly Motivated', 'Slightly Creative', 'Slightly Stressed', 'Below Average Job', 'Slightly Spiritual', 'Very Highly Family-Oriented', 'Fairly Lonely', 'Extremely Enjoys Going Out', 'Lives to Work Out', 'Academic Success Highly Matters', 'Thrives in the City', 'Moderately Enjoys Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
32,Enjoy Sunday Breakfast with Strangers,01/03/2025,20,4000,chennai,"['english', 'telugu']",32,Margaret Brown,"['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Mostly Extroverted', 'Not Motivated at All', 'Extremely Creative', 'Rarely Stressed', 'Dream Job', 'Moderately Spiritual', 'Not Family-Oriented at All', 'Fairly Lonely', 'Fairly Enjoys Going Out', 'Rarely Works Out', 'Academic Success Slightly Matters', 'Loves Only Nature', 'Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']","[{'participant_name': 'Kathleen Perkins', 'profession': 'biological technician', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Highly Extroverted', 'Slightly Motivated', 'Highly Creative', 'Not Stressed at All', 'Bad Job', 'Occasionally Spiritual', 'Extremely Family-Oriented', 'Occasionally Lonely', 'Rarely Enjoys Going Out', 'Hates Working Out', 'Academic Success Rarely Matters', 'Enjoys City More', 'Mildly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Marcus Carlson', 'profession': '', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Noticeably Introverted', 'Slightly Motivated', 'Highly Creative', 'Highly Stressed', 'Decent Job', 'Very Highly Spiritual', 'Highly Family-Oriented', 'Slightly Lonely', 'Rarely Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Fairly Matters', 'Enjoys Nature More', 'Moderately Enjoys Politically Incorrect Humor', 'Hates Discussing Politics']}, {'participant_name': 'Anna Nelson', 'profession': 'cost estimator', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Very Highly Introverted', 'Incredibly Self-Driven', 'Occasionally Creative', 'Occasionally Stressed', 'Dream Job', 'Deeply Enlightened', 'Slightly Family-Oriented', 'Extremely Lonely', 'Highly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Occasionally Matters', 'Leans Toward City', 'Mostly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Margaret Brown', 'profession': 'validation engineer', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Mostly Extroverted', 'Not Motivated at All', 'Extremely Creative', 'Rarely Stressed', 'Dream Job', 'Moderately Spiritual', 'Not Family-Oriented at All', 'Fairly Lonely', 'Fairly Enjoys Going Out', 'Rarely Works Out', 'Academic Success Slightly Matters', 'Loves Only Nature', 'Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']}]"
33,Catch up over Coffee with Strangers,01/03/2025,5,1000,mumbai,"['english', 'kannada']",33,Allen Whitney,"['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Highly Extroverted', 'Occasionally Motivated', 'Not Creative at All', 'Not Stressed at All', 'Bad Job', 'Rarely Spiritual', 'Not Family-Oriented at All', 'Occasionally Lonely', 'Loves Going Out All the Time', 'Somewhat Enjoys Working Out', 'Academic Success Rarely Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Malik Stanley', 'profession': 'chemical engineer', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'rock', 'Noticeably Introverted', 'Very Highly Motivated', 'Fairly Creative', 'Occasionally Stressed', 'Great Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Moderately Lonely', 'Rarely Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success Fairly Matters', 'Leans Toward Nature', 'Moderately Enjoys Politically Incorrect Humor', 'Avoids Discussing Politics']}, {'participant_name': 'Michael Benson', 'profession': 'industrial ecologist', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Highly Introverted', 'Fairly Motivated', 'Rarely Creative', 'Highly Stressed', 'Terrible Job', 'Rarely Spiritual', 'Not Family-Oriented at All', 'Very Highly Lonely', 'Loves Going Out All the Time', 'Somewhat Enjoys Working Out', 'Academic Success Fairly Matters', 'Enjoys Nature More', 'Slightly Dislikes Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}, {'participant_name': 'Christopher Wiggins', 'profession': 'food science technician', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'rap', 'Highly Introverted', 'Moderately Motivated', 'Slightly Creative', 'Moderately Stressed', 'Terrible Job', 'Not Spiritual at All', 'Slightly Family-Oriented', 'Rarely Lonely', 'Rarely Enjoys Going Out', 'Lives to Work Out', 'Academic Success Highly Matters', 'Thrives in the City', 'Slightly Dislikes Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Allen Whitney', 'profession': 'validation engineer', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Highly Extroverted', 'Occasionally Motivated', 'Not Creative at All', 'Not Stressed at All', 'Bad Job', 'Rarely Spiritual', 'Not Family-Oriented at All', 'Occasionally Lonely', 'Loves Going Out All the Time', 'Somewhat Enjoys Working Out', 'Academic Success Rarely Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
34,Drinks & Conversations with Strangers,08/03/2025,20,5000,mumbai,"['english', 'telugu']",34,Steven Harding,"['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'well-planned in advance', 'rap', 'Highly Introverted', 'Incredibly Self-Driven', 'Not Creative at All', 'Slightly Stressed', 'Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Highly Lonely', 'Extremely Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Moderately Matters', 'Prefers Nature Strongly', 'Absolutely Loves Politically Incorrect Humor', 'Loves Discussing Politics']","[{'participant_name': 'Jeremy Graham', 'profession': 'chemist', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Mostly Extroverted', 'Incredibly Self-Driven', 'Occasionally Creative', 'Severely Overwhelmed', 'Terrible Job', 'Highly Spiritual', 'Moderately Family-Oriented', 'Rarely Lonely', 'Occasionally Enjoys Going Out', 'Fairly Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Enjoys Nature More', 'Strongly Dislikes Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}, {'participant_name': 'Summer Hobbs', 'profession': '', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rock', 'Noticeably Introverted', 'Extremely Motivated', 'Not Creative at All', 'Very Highly Stressed', 'Terrible Job', 'Highly Spiritual', 'Slightly Family-Oriented', 'Highly Lonely', 'Slightly Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success is My Top Priority', 'Loves Only City', 'Slightly Dislikes Politically Incorrect Humor', 'Avoids Discussing Politics']}, {'participant_name': 'Steven Harding', 'profession': 'validation engineer', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'well-planned in advance', 'rap', 'Highly Introverted', 'Incredibly Self-Driven', 'Not Creative at All', 'Slightly Stressed', 'Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Highly Lonely', 'Extremely Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Moderately Matters', 'Prefers Nature Strongly', 'Absolutely Loves Politically Incorrect Humor', 'Loves Discussing Politics']}]"
35,The Foodie Hive,09/03/2025,20,3000,mumbai,"['english', 'kannada']",35,Cindy Sutton,"['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Mostly Extroverted', 'Rarely Motivated', 'Occasionally Creative', 'Rarely Stressed', 'Average Job', 'Moderately Spiritual', 'Occasionally Family-Oriented', 'Slightly Lonely', 'Moderately Enjoys Going Out', 'Lives to Work Out', ""Academic Success Doesn't Matter at All"", 'Leans Toward Nature', 'Very Highly Enjoys Politically Incorrect Humor', 'Avoids Discussing Politics']","[{'participant_name': 'Desiree Smith', 'profession': 'conservation scientist', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Noticeably Introverted', 'Slightly Motivated', 'Highly Creative', 'Severely Overwhelmed', 'Very Bad Job', 'Deeply Enlightened', 'Not Family-Oriented at All', 'Extremely Lonely', 'Loves Going Out All the Time', 'Very Passionate About Working Out', 'Academic Success Extremely Matters', 'Loves Only Nature', 'Mostly Dislikes Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Brittany Adams', 'profession': 'physicist', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Mostly Extroverted', 'Fairly Motivated', 'Extremely Creative', 'Rarely Stressed', 'Terrible Job', 'Fairly Spiritual', 'Very Highly Family-Oriented', 'Never Lonely', 'Hates Going Out', 'Very Passionate About Working Out', ""Academic Success Doesn't Matter at All"", 'Leans Toward City', 'Occasionally Tolerates Politically Incorrect Humor', 'Somewhat Enjoys Discussing Politics']}, {'participant_name': 'Cindy Sutton', 'profession': 'validation engineer', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Mostly Extroverted', 'Rarely Motivated', 'Occasionally Creative', 'Rarely Stressed', 'Average Job', 'Moderately Spiritual', 'Occasionally Family-Oriented', 'Slightly Lonely', 'Moderately Enjoys Going Out', 'Lives to Work Out', ""Academic Success Doesn't Matter at All"", 'Leans Toward Nature', 'Very Highly Enjoys Politically Incorrect Humor', 'Avoids Discussing Politics']}]"
36,Bombay Style Breakfast with Strangers.,09/03/2025,20,3500,chennai,"['english', 'telugu']",36,Linda Hicks,"['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Highly Extroverted', 'Very Highly Motivated', 'Not Creative at All', 'Slightly Stressed', 'Very Bad Job', 'Slightly Spiritual', 'Occasionally Family-Oriented', 'Fairly Lonely', 'Highly Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Very Highly Matters', 'Balanced Between Nature and City', 'Slightly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']","[{'participant_name': 'Jeffery Scott', 'profession': 'life scientist', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'spontanous and improvized', 'rap', 'Very Highly Introverted', 'Very Highly Motivated', 'Very Highly Creative', 'Occasionally Stressed', 'Good Job', 'Very Highly Spiritual', 'Fairly Family-Oriented', 'Moderately Lonely', 'Very Highly Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success Rarely Matters', 'Thrives in the City', 'Slightly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Linda Hicks', 'profession': '', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Highly Extroverted', 'Very Highly Motivated', 'Not Creative at All', 'Slightly Stressed', 'Very Bad Job', 'Slightly Spiritual', 'Occasionally Family-Oriented', 'Fairly Lonely', 'Highly Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Very Highly Matters', 'Balanced Between Nature and City', 'Slightly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}]"
37,Catch up over Coffee,09/03/2025,4,500,bangalore,"['english', 'telugu']",37,Shelly Rivera,"['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Slightly Introverted', 'Extremely Motivated', 'Rarely Creative', 'Occasionally Stressed', 'Very Bad Job', 'Deeply Enlightened', 'Deeply Devoted to Family', 'Moderately Lonely', 'Extremely Enjoys Going Out', 'Somewhat Enjoys Working Out', 'Academic Success Very Highly Matters', 'Leans Toward City', 'Absolutely Loves Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Wesley Phillips', 'profession': 'biomass power plant manager', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Mostly Extroverted', 'Moderately Motivated', 'Fairly Creative', 'Moderately Stressed', 'Bad Job', 'Not Spiritual at All', 'Very Highly Family-Oriented', 'Highly Lonely', 'Slightly Enjoys Going Out', 'Rarely Works Out', 'Academic Success is My Top Priority', 'Prefers Nature Strongly', 'Absolutely Loves Politically Incorrect Humor', 'Hates Discussing Politics']}, {'participant_name': 'Holly Coleman', 'profession': 'electrician', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Slightly Extroverted', 'Not Motivated at All', 'Fairly Creative', 'Highly Stressed', 'Terrible Job', 'Not Spiritual at All', 'Rarely Family-Oriented', 'Occasionally Lonely', 'Very Highly Enjoys Going Out', 'Hates Working Out', 'Academic Success Slightly Matters', 'Loves Only Nature', 'Absolutely Loves Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Matthew Lyons', 'profession': 'wind energy operations manager', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Slightly Introverted', 'Highly Motivated', 'Fairly Creative', 'Fairly Stressed', 'Great Job', 'Deeply Enlightened', 'Fairly Family-Oriented', 'Moderately Lonely', 'Moderately Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Extremely Matters', 'Balanced Between Nature and City', 'Mostly Dislikes Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Shelly Rivera', 'profession': 'validation engineer', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Slightly Introverted', 'Extremely Motivated', 'Rarely Creative', 'Occasionally Stressed', 'Very Bad Job', 'Deeply Enlightened', 'Deeply Devoted to Family', 'Moderately Lonely', 'Extremely Enjoys Going Out', 'Somewhat Enjoys Working Out', 'Academic Success Very Highly Matters', 'Leans Toward City', 'Absolutely Loves Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
38,Enjoy a 6 course Pan Asian Meal with Strangers,09/03/2025,8,1000,mumbai,"['english', 'tamil']",38,Kevin Cameron,"['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Ambiverted', 'Occasionally Motivated', 'Rarely Creative', 'Occasionally Stressed', 'Bad Job', 'Moderately Spiritual', 'Deeply Devoted to Family', 'Moderately Lonely', 'Very Highly Enjoys Going Out', 'Lives to Work Out', 'Academic Success Slightly Matters', 'Leans Toward Nature', 'Strongly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']","[{'participant_name': 'Jeremy Patrick', 'profession': 'materials engineer', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Slightly Extroverted', 'Occasionally Motivated', 'Rarely Creative', 'Slightly Stressed', 'Very Good Job', 'Fairly Spiritual', 'Fairly Family-Oriented', 'Completely Isolated', 'Hates Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Very Highly Matters', 'Leans Toward City', 'Absolutely Loves Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Steven Nelson', 'profession': 'natural sciences manager', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Very Highly Introverted', 'Extremely Motivated', 'Moderately Creative', 'Occasionally Stressed', 'Good Job', 'Deeply Enlightened', 'Occasionally Family-Oriented', 'Highly Lonely', 'Loves Going Out All the Time', 'Moderately Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Thrives in the City', 'Mostly Dislikes Politically Incorrect Humor', 'Avoids Discussing Politics']}, {'participant_name': 'Haley Munoz', 'profession': 'life scientist', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Mostly Extroverted', 'Slightly Motivated', 'Occasionally Creative', 'Severely Overwhelmed', 'Bad Job', 'Occasionally Spiritual', 'Very Highly Family-Oriented', 'Never Lonely', 'Rarely Enjoys Going Out', 'Hates Working Out', ""Academic Success Doesn't Matter at All"", 'Thrives in the City', 'Moderately Enjoys Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Kevin Cameron', 'profession': 'validation engineer', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Ambiverted', 'Occasionally Motivated', 'Rarely Creative', 'Occasionally Stressed', 'Bad Job', 'Moderately Spiritual', 'Deeply Devoted to Family', 'Moderately Lonely', 'Very Highly Enjoys Going Out', 'Lives to Work Out', 'Academic Success Slightly Matters', 'Leans Toward Nature', 'Strongly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}]"
39,Catch up over Coffee with Strangers,09/03/2025,15,3500,bangalore,"['english', 'kannada']",39,Carmen Lambert,"['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'neither rap or rock', 'Extremely Introverted', 'Incredibly Self-Driven', 'Fairly Creative', 'Very Highly Stressed', 'Good Job', 'Not Spiritual at All', 'Not Family-Oriented at All', 'Never Lonely', 'Occasionally Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success Extremely Matters', 'Prefers Nature Strongly', 'Absolutely Loves Politically Incorrect Humor', 'Somewhat Enjoys Discussing Politics']","[{'participant_name': 'Audrey Hill', 'profession': 'statistician', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Moderately Introverted', 'Not Motivated at All', 'Rarely Creative', 'Highly Stressed', 'Very Good Job', 'Deeply Enlightened', 'Fairly Family-Oriented', 'Rarely Lonely', 'Loves Going Out All the Time', 'Extremely Dedicated to Working Out', 'Academic Success is My Top Priority', 'Prefers Nature Strongly', 'Slightly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']}, {'participant_name': 'Samantha Kelly', 'profession': 'chemical technician', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'neither rap or rock', 'Ambiverted', 'Incredibly Self-Driven', 'Highly Creative', 'Fairly Stressed', 'Average Job', 'Occasionally Spiritual', 'Very Highly Family-Oriented', 'Occasionally Lonely', 'Very Highly Enjoys Going Out', 'Very Passionate About Working Out', 'Academic Success is My Top Priority', 'Leans Toward City', 'Very Highly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Jeremy Savage', 'profession': 'nursing instructor and teacher, postsecondary', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Moderately Introverted', 'Highly Motivated', 'Fairly Creative', 'Not Stressed at All', 'Great Job', 'Very Highly Spiritual', 'Not Family-Oriented at All', 'Never Lonely', 'Highly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Highly Matters', 'Leans Toward City', 'Absolutely Loves Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Carmen Lambert', 'profession': 'mining and geological engineer, including mining safety engineer', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'neither rap or rock', 'Extremely Introverted', 'Incredibly Self-Driven', 'Fairly Creative', 'Very Highly Stressed', 'Good Job', 'Not Spiritual at All', 'Not Family-Oriented at All', 'Never Lonely', 'Occasionally Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success Extremely Matters', 'Prefers Nature Strongly', 'Absolutely Loves Politically Incorrect Humor', 'Somewhat Enjoys Discussing Politics']}]"
